pNo,condition,study,sessionOrder,congruency,rtOverall,accOverall,rt,acc,rtCorrect,session
161,deplete,1,control-deplete,congruent,0.559596385542169,0.951807228915663,0.543870689655172,0.974137931034483,0.546477876106195,2
161,deplete,1,control-deplete,incongruent,0.559596385542169,0.951807228915663,0.59608,0.9,0.600777777777778,2
162,control,1,deplete-control,congruent,0.620141975308642,0.91358024691358,0.591157894736842,0.973684210526316,0.59327027027027,2
162,control,1,deplete-control,incongruent,0.620141975308642,0.91358024691358,0.688979166666667,0.770833333333333,0.679756756756757,2
162,deplete,1,deplete-control,congruent,0.622184971098266,0.947976878612717,0.582241379310345,0.96551724137931,0.581044642857143,1
162,deplete,1,deplete-control,incongruent,0.622184971098266,0.947976878612717,0.703473684210526,0.912280701754386,0.701692307692308,1
164,control,1,deplete-control,congruent,0.575987951807229,0.939759036144578,0.558042735042735,0.965811965811966,0.556044247787611,2
164,control,1,deplete-control,incongruent,0.575987951807229,0.939759036144578,0.618836734693878,0.877551020408163,0.608279069767442,2
164,deplete,1,deplete-control,congruent,0.588828025477707,0.980891719745223,0.57656880733945,1,0.57656880733945,1
164,deplete,1,deplete-control,incongruent,0.588828025477707,0.980891719745223,0.616666666666667,0.9375,0.617488888888889,1
165,control,1,control-deplete,congruent,0.536740740740741,0.925925925925926,0.52215652173913,0.939130434782609,0.527509259259259,1
165,control,1,control-deplete,incongruent,0.536740740740741,0.925925925925926,0.572425531914894,0.893617021276596,0.572666666666667,1
165,deplete,1,control-deplete,congruent,0.564491017964072,0.970059880239521,0.549080357142857,0.973214285714286,0.550247706422018,2
165,deplete,1,control-deplete,incongruent,0.564491017964072,0.970059880239521,0.595872727272727,0.963636363636364,0.59877358490566,2
168,control,1,deplete-control,congruent,0.677927272727273,0.975757575757576,0.642780701754386,0.973684210526316,0.644108108108108,2
168,control,1,deplete-control,incongruent,0.677927272727273,0.975757575757576,0.756490196078431,0.980392156862745,0.76296,2
168,deplete,1,deplete-control,congruent,0.649327272727273,0.939393939393939,0.608385964912281,0.973684210526316,0.611459459459459,1
168,deplete,1,deplete-control,incongruent,0.649327272727273,0.939393939393939,0.740843137254902,0.862745098039216,0.752409090909091,1
169,control,1,control-deplete,congruent,0.502290322580645,0.948387096774194,0.498779816513761,0.935779816513761,0.505019607843137,1
169,control,1,control-deplete,incongruent,0.502290322580645,0.948387096774194,0.510608695652174,0.978260869565217,0.508977777777778,1
169,deplete,1,control-deplete,congruent,0.484803468208093,0.930635838150289,0.4759,0.941666666666667,0.478327433628319,2
169,deplete,1,control-deplete,incongruent,0.484803468208093,0.930635838150289,0.504962264150943,0.905660377358491,0.499979166666667,2
171,control,1,control-deplete,congruent,0.540981366459627,0.944099378881988,0.525448598130841,0.97196261682243,0.525788461538462,1
171,control,1,control-deplete,incongruent,0.540981366459627,0.944099378881988,0.571759259259259,0.888888888888889,0.576083333333333,1
171,deplete,1,control-deplete,congruent,0.471636942675159,0.917197452229299,0.465220183486239,0.908256880733945,0.467212121212121,2
171,deplete,1,control-deplete,incongruent,0.471636942675159,0.917197452229299,0.486208333333333,0.9375,0.489177777777778,2
173,control,1,control-deplete,congruent,0.901559523809524,0.910714285714286,0.869142857142857,0.955357142857143,0.854700934579439,1
173,control,1,control-deplete,incongruent,0.901559523809524,0.910714285714286,0.966392857142857,0.821428571428571,0.95595652173913,1
173,deplete,1,control-deplete,congruent,0.771590361445783,0.951807228915663,0.752934579439252,0.94392523364486,0.754663366336634,2
173,deplete,1,control-deplete,incongruent,0.771590361445783,0.951807228915663,0.805423728813559,0.966101694915254,0.810421052631579,2
174,control,1,deplete-control,congruent,0.574709090909091,0.981818181818182,0.560791304347826,1,0.560791304347826,2
174,control,1,deplete-control,incongruent,0.574709090909091,0.981818181818182,0.60672,0.94,0.608978723404255,2
174,deplete,1,deplete-control,congruent,0.541298701298701,0.954545454545455,0.527648148148148,0.981481481481481,0.52927358490566,1
174,deplete,1,deplete-control,incongruent,0.541298701298701,0.954545454545455,0.573347826086957,0.891304347826087,0.569219512195122,1
176,control,1,deplete-control,congruent,0.663355828220859,0.950920245398773,0.645699115044248,0.973451327433628,0.648309090909091,2
176,control,1,deplete-control,incongruent,0.663355828220859,0.950920245398773,0.70326,0.9,0.688355555555556,2
176,deplete,1,deplete-control,congruent,0.804166666666667,0.922619047619048,0.778203703703704,0.925925925925926,0.76676,1
176,deplete,1,deplete-control,incongruent,0.804166666666667,0.922619047619048,0.8509,0.916666666666667,0.845181818181818,1
177,control,1,control-deplete,congruent,0.682658959537572,0.976878612716763,0.639117647058824,0.991596638655462,0.641169491525424,1
