study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,2,109,deplete,incongruent,control-deplete,0.1298,0.1847,0.5537
1,2,110,control,congruent,deplete-control,0.1324,0.1811,0.4455
1,2,110,control,incongruent,deplete-control,0.1518,0.1476,0.439
1,1,110,deplete,congruent,deplete-control,0.1409,0.1936,0.4544
1,1,110,deplete,incongruent,deplete-control,0.1439,0.1323,0.4927
1,1,111,control,congruent,control-deplete,0.1052,0.344,0.3897
1,1,111,control,incongruent,control-deplete,0.1022,0.3025,0.4214
1,2,111,deplete,congruent,control-deplete,0.1017,0.3951,0.3704
1,2,111,deplete,incongruent,control-deplete,0.079,0.2523,0.4086
1,2,112,control,congruent,deplete-control,0.1043,0.3504,0.3823
1,2,112,control,incongruent,deplete-control,0.1068,0.2706,0.3694
1,1,112,deplete,congruent,deplete-control,0.0953,0.3807,0.405
1,1,112,deplete,incongruent,deplete-control,0.1082,0.3705,0.3697
1,2,114,control,congruent,deplete-control,0.1463,0.3737,0.4418
1,2,114,control,incongruent,deplete-control,0.1323,0.3561,0.6951
1,1,114,deplete,congruent,deplete-control,0.1784,0.3069,0.4182
1,1,114,deplete,incongruent,deplete-control,0.1545,0.3082,0.7171
1,2,116,control,congruent,deplete-control,0.1583,0.3421,0.4405
1,2,116,control,incongruent,deplete-control,0.1376,0.2843,0.5366
1,1,116,deplete,congruent,deplete-control,0.1778,0.2663,0.3923
1,1,116,deplete,incongruent,deplete-control,0.1425,0.1988,0.5455
1,1,117,control,congruent,control-deplete,0.1339,0.1763,0.473
1,1,117,control,incongruent,control-deplete,0.1126,0.0317,0.5127
1,2,117,deplete,congruent,control-deplete,0.132,0.2224,0.4779
1,2,117,deplete,incongruent,control-deplete,0.1166,-0.0734,0.6525
1,2,118,control,congruent,deplete-control,0.0985,0.2426,0.4174
1,2,118,control,incongruent,deplete-control,0.1313,0.2158,0.3545
1,1,118,deplete,congruent,deplete-control,0.1218,0.2395,0.433
1,1,118,deplete,incongruent,deplete-control,0.1094,0.176,0.4656
1,1,119,control,congruent,control-deplete,0.1203,0.3368,0.3928
1,1,119,control,incongruent,control-deplete,0.102,0.1885,0.4354
1,2,119,deplete,congruent,control-deplete,0.1006,0.3642,0.3831
1,2,119,deplete,incongruent,control-deplete,0.0888,0.2636,0.42
1,2,120,control,congruent,deplete-control,0.179,0.3046,0.3667
1,2,120,control,incongruent,deplete-control,0.1574,0.3003,0.5931
1,1,120,deplete,congruent,deplete-control,0.1365,0.2151,0.4255
1,1,120,deplete,incongruent,deplete-control,0.1231,0.1933,0.687
1,1,121,control,congruent,control-deplete,0.1484,0.2742,0.4862
1,1,121,control,incongruent,control-deplete,0.1174,0.1995,0.7571
1,2,121,deplete,congruent,control-deplete,0.1632,0.2913,0.4934
1,2,121,deplete,incongruent,control-deplete,0.1198,0.2142,0.7141
1,2,122,control,congruent,deplete-control,0.1448,0.3289,0.4083
1,2,122,control,incongruent,deplete-control,0.1033,0.2426,0.5381
1,1,122,deplete,congruent,deplete-control,0.1313,0.4131,0.4395
1,1,122,deplete,incongruent,deplete-control,0.1173,0.2655,0.4727
1,1,123,control,congruent,control-deplete,0.1583,0.2576,0.3904
1,1,123,control,incongruent,control-deplete,0.1178,0.1385,0.5196
1,2,123,deplete,congruent,control-deplete,0.1109,0.2206,0.4509
1,2,123,deplete,incongruent,control-deplete,0.1081,0.1618,0.477
1,2,124,control,congruent,deplete-control,0.1287,0.282,0.4808
1,2,124,control,incongruent,deplete-control,0.1013,0.1393,0.5878
1,1,124,deplete,congruent,deplete-control,0.1169,0.3065,0.4601
