pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
357,deplete,1,0.12475,0.3118,18,56,70,58,51,2
358,control,1,0.1217,0.26775,18,27,19,34,34,2
358,deplete,1,0.1194,0.24995,31,41,44,42,37,1
36,control,1,0.0803,0.2488,26,24,24,44,24,2
361,control,1,0.1346,0.31765,24,13,19,12,22,1
361,deplete,1,0.1437,0.25735,62,54,52,56,56,2
362,control,1,0.1325,0.20295,42,34,54,14,17,2
362,deplete,1,0.10375,0.2303,70,62,59,49,63,1
364,control,1,0.1346,0.256,39,21,25,10,18,2
364,deplete,1,0.13315,0.2361,47,48,25,24,63,1
37,control,1,0.10665,0.2938,54,16,14,17,17,1
37,deplete,1,0.1049,0.31965,65,70,55,65,70,2
38,control,1,0.1249,0.3227,10,10,11,11,69,2
41,control,1,0.14755,0.29305,64,33,51,47,38,1
41,deplete,1,0.1635,0.2304,49,45,46,44,48,2
42,control,1,0.12235,0.18475,37,10,11,12,19,2
43,control,1,0.10785,0.32915,23,19,22,19,20,1
43,deplete,1,0.0952,0.27655,59,57,41,47,56,2
44,control,1,0.1442,0.273,70,24,19,22,27,2
45,control,1,0.17185,0.2549,39,11,19,19,16,1
45,deplete,1,0.1456,0.2392,42,35,29,29,39,2
47,control,1,0.1614,0.1912,53,16,15,20,16,1
47,deplete,1,0.1803,0.2064,60,54,41,50,50,2
49,control,1,0.11355,0.2556,31,28,25,10,35,1
49,deplete,1,0.09335,0.30805,26,56,14,22,52,2
5,control,1,0.14195,0.2399,26,29,31,19,34,1
5,deplete,1,0.13475,0.10875,70,64,70,70,70,2
50,control,1,0.09995,0.20365,37,36,30,44,43,2
52,control,1,0.13105,0.179,17,11,11,12,23,2
53,control,1,0.14675,0.31525,35,52,40,45,61,1
53,deplete,1,0.12165,0.30755,31,54,63,70,54,2
54,control,1,0.11775,0.2747,17,27,22,17,19,2
56,control,1,0.127,0.21545,39,11,10,11,10,2
57,control,1,0.11395,0.23175,43,11,12,11,10,1
57,deplete,1,0.1169,0.18495,49,62,45,43,54,2
59,control,1,0.14925,0.23305,18,20,12,12,17,1
59,deplete,1,0.1139,0.27045,28,45,29,43,49,2
60,control,1,0.11805,0.3053,14,17,17,21,25,2
62,control,1,0.1456,0.29715,51,22,10,10,29,2
64,control,1,0.12185,0.1829,16,12,11,11,12,2
65,control,1,0.1138,0.3278,15,17,15,15,19,1
65,deplete,1,0.0979,0.37605,69,70,55,70,68,2
71,control,1,0.08135,0.26985,37,44,28,29,39,1
71,deplete,1,0.081,0.25025,40,47,44,54,47,2
73,control,1,0.1167,0.2209,27,33,35,29,38,1
73,deplete,1,0.1226,0.2526,70,70,70,48,67,2
74,control,1,0.10965,0.1853,44,20,14,23,21,2
76,control,1,0.1375,0.2507,13,12,10,11,13,2
76,deplete,1,0.14625,0.2297,55,20,18,17,26,1
79,control,1,0.10825,0.30785,25,38,21,25,23,1
79,deplete,1,0.1024,0.3331,70,62,63,70,66,2
80,control,1,0.10605,0.25415,14,16,22,21,24,2
80,deplete,1,0.14835,0.33965,36,61,49,46,63,1
81,control,1,0.11835,0.23155,36,21,10,28,19,1
81,deplete,1,0.08945,0.1911,70,40,45,44,64,2
82,control,1,0.1216,0.27265,26,23,23,21,22,2
82,deplete,1,0.1447,0.27395,63,45,57,52,53,1
83,control,1,0.1316,0.18645,42,29,36,29,47,1
83,deplete,1,0.1115,0.1566,65,51,52,64,51,2
84,control,1,0.14155,0.27705,39,13,14,14,14,2
84,deplete,1,0.1035,0.2337,42,41,42,43,49,1
85,control,1,0.1206,0.28335,53,26,49,28,23,1
85,deplete,1,0.1095,0.2212,70,61,70,64,61,2
86,control,1,0.12305,0.27705,31,14,27,26,21,2
86,deplete,1,0.11585,0.19555,70,34,51,49,26,1
87,control,1,0.1043,0.27465,33,11,14,10,14,1
87,deplete,1,0.115,0.2634,39,47,41,42,60,2
89,control,1,0.1584,0.19145,45,26,13,38,12,1
89,deplete,1,0.1233,0.2131,44,65,46,65,56,2
91,control,1,0.09285,0.3145,45,13,11,11,61,1
91,deplete,1,0.0797,0.2734,66,52,51,51,22,2
92,control,1,0.08745,0.28825,46,18,13,19,19,2
92,deplete,1,0.07665,0.2191,57,46,44,32,43,1
93,control,1,0.18125,0.1663,14,14,12,14,14,1
93,deplete,1,0.13495,0.31365,26,48,45,37,52,2
94,control,1,0.13325,0.31555,42,12,13,10,20,2
