pNo,condition,study,a,v,bored,effort,fatigue,frustrate,mentaldemand,session
&(FX4Y7I7OHUR2&(,control,4,0.11615,0.2947,14,10,10,10,10,2
&(FX4Y7I7OHUR2&(,deplete,4,0.1569,0.1801,70,70,70,40,70,1
&(@WR1!44!2YS2&(,control,4,0.1664,0.31175,39,10,11,13,19,1
&(@WR1!44!2YS2&(,deplete,4,0.1327,0.35555,64,59,69,60,70,2
MUFSAE@2U9!^T2&(,control,4,0.1343,0.25085,35,18,11,12,18,1
MUFSAE@2U9!^T2&(,deplete,4,0.1142,0.3513,30,55,39,16,44,2
K9T&(UE^RQ^&(U2&(,control,4,0.143,0.1962,12,18,10,11,19,2
K9T&(UE^RQ^&(U2&(,deplete,4,0.1477,0.17695,10,69,10,10,70,1
@XYYRIR^L5^@2&(,control,4,0.1415,0.2704,37,14,13,19,14,1
@XYYRIR^L5^@2&(,deplete,4,0.15325,0.26165,48,70,70,62,68,2
HC&(2RE^T599@2&(,control,4,0.27225,0.1516,37,19,14,22,15,1
HC&(2RE^T599@2&(,deplete,4,0.1423,0.2148,32,49,43,43,52,2
!EH81OCO8Q^W2&(,control,4,0.16585,0.28515,57,12,12,10,20,2
!EH81OCO8Q^W2&(,deplete,4,0.27615,0.0881,15,48,39,11,65,1
RTX2T@&(X@GLW2&(,control,4,0.1266,0.25445,56,11,11,12,11,1
RTX2T@&(X@GLW2&(,deplete,4,0.1168,0.3183,10,70,15,11,70,2
HBMGAEZ25GR&(Z2&(,control,4,0.2306,0.1776,53,17,19,18,20,1
HBMGAEZ25GR&(Z2&(,deplete,4,0.13215,0.2424,21,65,63,61,67,2
OAE2USO!#H&(GZ2&(,control,4,0.2569,0.175,29,30,40,42,48,1
OAE2USO!#H&(GZ2&(,deplete,4,0.13875,0.2535,11,70,70,68,70,2
LEI8FK5RG&(0^&(,control,4,0.1601,0.32445,10,10,10,16,10,1
LEI8FK5RG&(0^&(,deplete,4,0.11195,0.3311,10,41,10,10,41,2
^I7OJQL8981^&(,control,4,0.11645,0.3302,13,10,10,10,10,2
^I7OJQL8981^&(,deplete,4,0.1304,0.23175,26,70,57,37,70,1
CHBXT&(5HXB^^^&(,control,4,0.1045,0.3402,10,10,10,10,10,2
CHBXT&(5HXB^^^&(,deplete,4,0.16365,0.2148,70,70,70,70,70,1
OWHT#TMILY24^&(,control,4,0.1622,0.2691,10,44,11,54,70,2
OWHT#TMILY24^&(,deplete,4,0.19665,0.2617,70,70,70,70,70,1
C#7BCEFZTRAE#^&(,control,4,0.13135,0.30035,13,27,18,17,49,1
C#7BCEFZTRAE#^&(,deplete,4,0.09775,0.36685,10,70,59,18,70,2
141@UFFIR2#8^&(,control,4,0.108,0.29105,52,23,17,19,25,2
141@UFFIR2#8^&(,deplete,4,0.09675,0.2894,26,59,49,27,59,1
^&(AEGJYJ0W##8^&(,control,4,0.2017,0.15935,16,45,21,10,42,1
^&(AEGJYJ0W##8^&(,deplete,4,0.11585,0.23405,34,70,54,42,70,2
T#0@R^8$09OB^&(,control,4,0.1389,0.2391,15,16,15,15,15,1
T#0@R^8$09OB^&(,deplete,4,0.1055,0.30915,22,65,52,51,65,2
I!909SI&(WRUC^&(,control,4,0.12095,0.3306,48,15,29,21,17,2
I!909SI&(WRUC^&(,deplete,4,0.1017,0.29455,54,65,69,70,66,1
0^M79SWI10&($^&(,control,4,0.17575,0.2865,15,47,45,58,41,2
0^M79SWI10&($^&(,deplete,4,0.22455,0.19735,55,61,66,60,62,1
CFGYYKFZ18&($^&(,control,4,0.14335,0.2808,17,25,48,70,57,2
CFGYYKFZ18&($^&(,deplete,4,0.23225,0.18565,63,41,70,68,70,1
WJLC8MSGY$$^&(,control,4,0.26295,0.1774,15,19,19,37,25,1
WJLC8MSGY$$^&(,deplete,4,0.1564,0.24125,34,66,49,49,62,2
AE@E8Z15RCR^E^&(,control,4,0.1132,0.3164,38,11,11,12,14,2
AE@E8Z15RCR^E^&(,deplete,4,0.12165,0.2808,63,26,19,10,15,1
7S5B^@8U&(U&(E^&(,control,4,0.1304,0.37165,57,14,17,31,21,1
7S5B^@8U&(U&(E^&(,deplete,4,0.1274,0.37445,55,70,70,60,70,2
CYU$YEAE$#WHE^&(,control,4,0.1388,0.31015,27,37,34,44,56,2
CYU$YEAE$#WHE^&(,deplete,4,0.22975,0.1715,49,59,70,70,70,1
FGJTBI28H5!E^&(,control,4,0.1137,0.3558,55,17,16,12,23,1
FGJTBI28H5!E^&(,deplete,4,0.12655,0.27915,32,57,45,10,66,2
S^GYK922EB4F^&(,control,4,0.09875,0.3063,10,11,11,10,27,1
S^GYK922EB4F^&(,deplete,4,0.09365,0.3335,10,55,46,49,66,2
!BAE02&(GYIAEHF^&(,control,4,0.13475,0.1181,59,48,36,47,45,2
!BAE02&(GYIAEHF^&(,deplete,4,0.21595,0.0781,58,51,56,44,56,1
E1!AE$T0!OO8G^&(,control,4,0.11965,0.3429,13,13,10,12,14,2
E1!AE$T0!OO8G^&(,deplete,4,0.1345,0.3019,17,52,52,22,65,1
@L05E^#129$I^&(,control,4,0.1588,0.20595,20,10,16,10,23,1
@L05E^#129$I^&(,deplete,4,0.1182,0.25695,25,43,53,20,63,2
^Z808OT7Y$YI^&(,control,4,0.1408,0.2681,52,14,14,16,22,2
^Z808OT7Y$YI^&(,deplete,4,0.15845,0.2597,25,51,56,13,60,1
0O!E0WILR7TK^&(,control,4,0.1555,0.28665,46,13,23,46,21,1
0O!E0WILR7TK^&(,deplete,4,0.1316,0.38775,48,57,51,41,51,2
9&(^X7IXUC$0L^&(,control,4,0.136,0.37815,42,17,23,14,20,1
9&(^X7IXUC$0L^&(,deplete,4,0.10045,0.36235,60,69,70,53,70,2
4HHC#JWZ!^#!^&(,control,4,0.1277,0.33915,20,33,18,15,49,2
4HHC#JWZ!^#!^&(,deplete,4,0.1739,0.2948,32,46,27,35,44,1
^R4Z7C7ETE&(Q^&(,control,4,0.12185,0.20635,25,25,10,10,22,1
^R4Z7C7ETE&(Q^&(,deplete,4,0.1073,0.18995,57,50,56,28,61,2
WE5AEJ@UK75CQ^&(,control,4,0.1289,0.27655,29,11,12,11,12,2
WE5AEJ@UK75CQ^&(,deplete,4,0.1745,0.19915,70,47,62,66,67,1
$!W@I21JOZ2R^&(,control,4,0.08905,0.3255,31,17,32,15,16,2
$!W@I21JOZ2R^&(,deplete,4,0.1462,0.21005,33,56,54,49,53,1
&(EAEJKXM2Y5F@^&(,control,4,0.1042,-0.03485,19,21,18,15,17,1
&(EAEJKXM2Y5F@^&(,deplete,4,0.1122,0.0446,39,60,51,30,60,2
4UH&(5AE9QAEH94&(,control,4,0.2392,0.1834,67,41,37,56,12,1
4UH&(5AE9QAEH94&(,deplete,4,0.1103,0.29235,70,70,56,66,60,2
GE@H2C9!^7B5&(,control,4,0.1015,0.2366,12,22,12,15,35,2
GE@H2C9!^7B5&(,deplete,4,0.12235,0.25185,10,61,41,49,62,1
TRS!HGRZKMB5&(,control,4,0.1436,0.2663,69,13,14,17,17,1
TRS!HGRZKMB5&(,deplete,4,0.0874,0.2844,70,70,70,65,63,2
ILS^JRQ@AEB!5&(,control,4,0.1283,0.24155,69,69,47,48,70,2
ILS^JRQ@AEB!5&(,deplete,4,0.24325,0.1981,70,70,70,70,70,1
2L5YEY1KJWM#&(,control,4,0.123,0.29715,18,11,11,11,11,2
2L5YEY1KJWM#&(,deplete,4,0.15085,0.23485,36,70,63,52,63,1
!I!XMYRKIXW#&(,control,4,0.28445,0.195,63,14,13,33,19,1
!I!XMYRKIXW#&(,deplete,4,0.15345,0.30765,64,54,64,68,47,2
S$TB#AEMJ#0T7&(,control,4,0.17085,0.1795,21,17,14,15,20,1
S$TB#AEMJ#0T7&(,deplete,4,0.15085,0.2661,58,54,53,32,58,2
LO8FAEYZ1JU09&(,control,4,0.16855,0.18445,40,53,16,39,16,1
LO8FAEYZ1JU09&(,deplete,4,0.13105,0.2652,60,62,69,53,68,2
XRF#Y1JHQSBB&(,control,4,0.1059,0.34015,40,21,10,11,20,2
XRF#Y1JHQSBB&(,deplete,4,0.18975,0.22465,49,51,30,42,48,1
Z#9O0^4U78MC&(,control,4,0.14815,0.25395,32,14,11,12,15,1
Z#9O0^4U78MC&(,deplete,4,0.12055,0.27185,63,69,46,61,50,2
EHOFM!9O9!OC&(,control,4,0.1459,0.239,30,17,21,41,23,1
EHOFM!9O9!OC&(,deplete,4,0.1097,0.33365,70,70,70,70,70,2
@AECSJ&(BAEAE07$&(,control,4,0.14025,0.2337,20,38,24,19,53,1
@AECSJ&(BAEAE07$&(,deplete,4,0.1045,0.3541,16,70,62,40,70,2
Y@BJCTX2G5Q$&(,control,4,0.1438,0.17375,24,18,18,18,19,1
Y@BJCTX2G5Q$&(,deplete,4,0.14115,0.26025,26,52,59,29,51,2
YULE!RLFHSOF&(,control,4,0.1234,0.32505,13,13,12,13,14,2
YULE!RLFHSOF&(,deplete,4,0.147,0.26265,19,66,70,70,66,1
EXFC90U!00UF&(,control,4,0.16135,0.23155,10,16,19,16,27,2
EXFC90U!00UF&(,deplete,4,0.16135,0.2544,47,70,70,51,70,1
L25WU0WZK1II&(,control,4,0.13035,0.38965,12,28,21,12,25,2
L25WU0WZK1II&(,deplete,4,0.3046,0.1663,51,70,70,59,70,1
&(4BWT2OT!$LI&(,control,4,0.11715,0.29485,26,14,17,12,19,2
&(4BWT2OT!$LI&(,deplete,4,0.1378,0.3363,37,65,56,48,67,1
G727EW!AEB11K&(,control,4,0.1035,0.31655,10,10,10,10,19,2
G727EW!AEB11K&(,deplete,4,0.1067,0.28195,70,46,70,70,49,1
U4WGEWG4$L!K&(,control,4,0.1226,0.29555,57,26,30,38,15,2
U4WGEWG4$L!K&(,deplete,4,0.1383,0.2316,54,51,61,44,68,1
ML87TC&($4Q1L&(,control,4,0.1154,0.2323,70,61,26,70,13,2
ML87TC&($4Q1L&(,deplete,4,0.14835,0.2386,28,56,33,44,49,1
&(9QK8ZYWRQ$L&(,control,4,0.0854,0.36085,33,13,19,16,16,1
&(9QK8ZYWRQ$L&(,deplete,4,0.0905,0.42795,24,70,66,58,70,2
&(1ER^U4T551M&(,control,4,0.1337,0.19595,13,12,10,13,11,1
&(1ER^U4T551M&(,deplete,4,0.1338,0.26025,47,68,44,56,65,2
84WXXJ20KK2M&(,control,4,0.12505,0.28425,29,16,12,16,17,2
84WXXJ20KK2M&(,deplete,4,0.14925,0.2038,23,63,47,35,70,1
I&(1$U$1TC#ZM&(,control,4,0.1015,0.2564,23,48,42,43,22,2
I&(1$U$1TC#ZM&(,deplete,4,0.1271,0.19595,28,70,70,42,70,1
#JGE92C890!&(,control,4,0.11905,0.30985,23,19,20,30,20,2
#JGE92C890!&(,deplete,4,0.12385,0.26765,41,67,41,38,66,1
4AEG0EJ&(SBHRO&(,control,4,0.19885,0.20785,44,47,18,45,32,1
4AEG0EJ&(SBHRO&(,deplete,4,0.1407,0.30235,60,69,67,55,68,2
^S$E4J4^$!AEAE&(,control,4,0.1321,0.26585,10,10,10,10,10,1
^S$E4J4^$!AEAE&(,deplete,4,0.09725,0.2443,70,32,10,10,30,2
!5WZYQBH9^TAE&(,control,4,0.2969,0.21325,11,10,10,10,10,1
!5WZYQBH9^TAE&(,deplete,4,0.1274,0.36835,61,52,51,61,61,2
LZ78@G&(C4YXT&(,control,4,0.2021,0.18785,64,17,17,25,16,1
LZ78@G&(C4YXT&(,deplete,4,0.14785,0.2624,29,70,70,57,70,2
GL4IUME2!L^@&(,control,4,0.1587,0.25235,15,16,13,10,41,2
GL4IUME2!L^@&(,deplete,4,0.1769,0.2335,46,41,37,41,48,1
Y#KG1@X$HAE!X&(,control,4,0.14595,0.18375,10,67,18,11,65,2
Y#KG1@X$HAE!X&(,deplete,4,0.1378,0.24655,10,49,41,10,70,1
